
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
USGS	01578310	00060	68118	7	12	1999	1999	1	1999	4670	1999	4670	4670					4670				
USGS	01578310	00060	68118	7	13	1999	1999	1	1999	4960	1999	4960	4960					4960				
USGS	01578310	00060	68118	7	14	1999	1999	1	1999	4920	1999	4920	4920					4920				
USGS	01578310	00060	68118	7	15	1999	1999	1	1999	4930	1999	4930	4930					4930				
USGS	01578310	00060	68118	7	16	1999	1999	1	1999	5010	1999	5010	5010					5010				
USGS	01578310	00060	68118	7	17	1999	1999	1	1999	4930	1999	4930	4930					4930				
USGS	01578310	00060	68118	7	18	1999	1999	1	1999	4720	1999	4720	4720					4720				
USGS	01578310	00060	68118	7	19	1999	1999	1	1999	4480	1999	4480	4480					4480				
USGS	01578310	00060	68118	7	20	1999	1999	1	1999	4320	1999	4320	4320					4320				
USGS	01578310	00060	68118	7	21	1999	1999	1	1999	4110	1999	4110	4110					4110				
USGS	01578310	00060	68118	7	22	1999	1999	1	1999	4520	1999	4520	4520					4520				
USGS	01578310	00060	68118	7	23	1999	1999	1	1999	4830	1999	4830	4830					4830				
USGS	01578310	00060	68118	7	24	1999	1999	1	1999	5060	1999	5060	5060					5060				
USGS	01578310	00060	68118	7	25	1999	1999	1	1999	4650	1999	4650	4650					4650				
USGS	01578310	00060	68118	7	26	1999	1999	1	1999	4340	1999	4340	4340					4340				
USGS	01578310	00060	68118	7	27	1999	1999	1	1999	3950	1999	3950	3950					3950				
USGS	01578310	00060	68118	7	28	1999	1999	1	1999	3860	1999	3860	3860					3860				
USGS	01578310	00060	68118	7	29	1999	1999	1	1999	3550	1999	3550	3550					3550				
USGS	01578310	00060	68118	7	30	1999	1999	1	1999	3530	1999	3530	3530					3530				
USGS	01578310	00060	68118	7	31	1999	1999	1	1999	3730	1999	3730	3730					3730				
USGS	01578310	00060	68118	8	1	1999	1999	1	1999	3840	1999	3840	3840					3840				
USGS	01578310	00060	68118	8	2	1999	1999	1	1999	3840	1999	3840	3840					3840				
USGS	01578310	00060	68118	8	3	1999	1999	1	1999	3560	1999	3560	3560					3560				
USGS	01578310	00060	68118	8	4	1999	1999	1	1999	2990	1999	2990	2990					2990				
USGS	01578310	00060	68118	8	5	1999	1999	1	1999	2840	1999	2840	2840					2840				
USGS	01578310	00060	68118	8	6	1999	1999	1	1999	2790	1999	2790	2790					2790				
USGS	01578310	00060	68118	8	7	1999	1999	1	1999	2460	1999	2460	2460					2460				
USGS	01578310	00060	68118	8	8	1999	1999	1	1999	2500	1999	2500	2500					2500				
USGS	01578310	00060	68118	8	9	1999	1999	1	1999	2700	1999	2700	2700					2700				
USGS	01578310	00060	68118	8	10	1999	1999	1	1999	2560	1999	2560	2560					2560				
USGS	01578310	00060	68118	8	11	1999	1999	1	1999	2620	1999	2620	2620					2620				
USGS	01578310	00060	68118	8	12	1999	1999	1	1999	2580	1999	2580	2580					2580				
USGS	01578310	00060	68118	8	13	1999	1999	1	1999	2270	1999	2270	2270					2270				
USGS	01578310	00060	68118	8	14	1999	1999	1	1999	6000	1999	6000	6000					6000				
USGS	01578310	00060	68118	8	15	1999	1999	1	1999	4560	1999	4560	4560					4560				
USGS	01578310	00060	68118	8	16	1999	1999	1	1999	4980	1999	4980	4980					4980				
USGS	01578310	00060	68118	8	17	1999	1999	1	1999	7310	1999	7310	7310					7310				
USGS	01578310	00060	68118	8	18	1999	1999	1	1999	10700	1999	10700	10700					10700				
USGS	01578310	00060	68118	8	19	1999	1999	1	1999	4310	1999	4310	4310					4310				
USGS	01578310	00060	68118	8	20	1999	1999	1	1999	3440	1999	3440	3440					3440				
USGS	01578310	00060	68118	8	21	1999	1999	1	1999	4290	1999	4290	4290					4290				
USGS	01578310	00060	68118	8	22	1999	1999	1	1999	6810	1999	6810	6810					6810				
USGS	01578310	00060	68118	8	23	1999	1999	1	1999	11500	1999	11500	11500					11500				
USGS	01578310	00060	68118	8	24	1999	1999	1	1999	9270	1999	9270	9270					9270				
USGS	01578310	00060	68118	8	25	1999	1999	1	1999	11400	1999	11400	11400					11400				
USGS	01578310	00060	68118	8	26	1999	1999	1	1999	6370	1999	6370	6370					6370				
USGS	01578310	00060	68118	8	27	1999	1999	1	1999	13000	1999	13000	13000					13000				
USGS	01578310	00060	68118	8	28	1999	1999	1	1999	4880	1999	4880	4880					4880				
USGS	01578310	00060	68118	8	29	1999	1999	1	1999	7480	1999	7480	7480					7480				
USGS	01578310	00060	68118	8	30	1999	1999	1	1999	5650	1999	5650	5650					5650				
USGS	01578310	00060	68118	8	31	1999	1999	1	1999	4910	1999	4910	4910					4910				
USGS	01578310	00060	68118	9	1	1999	1999	1	1999	4660	1999	4660	4660					4660				
USGS	01578310	00060	68118	9	2	1999	1999	1	1999	9200	1999	9200	9200					9200				
USGS	01578310	00060	68118	9	3	1999	1999	1	1999	6730	1999	6730	6730					6730				
USGS	01578310	00060	68118	9	4	1999	1999	1	1999	3860	1999	3860	3860					3860				
USGS	01578310	00060	68118	9	5	1999	1999	1	1999	3620	1999	3620	3620					3620				
USGS	01578310	00060	68118	9	6	1999	1999	1	1999	4050	1999	4050	4050					4050				
